Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?",Stock,"Backorders allowed?","Sold individually?","Allow customer reviews?","Sale price","Regular price",Categories,Tags,Images,Parent,Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default","Meta: _demo_rating","Meta: _demo_review_count"
simple,demo-001-gradient-graphic-t-shirt,"Gradient Graphic T-shirt",1,1,visible,"Gradient Graphic T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Gradient Graphic T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,20,0,0,1,,145,"Shop > Unisex > T-shirts, Casual","graphic, cotton, summer, casual, unisex","https://placehold.co/800x800/ece9e4/111111.png?text=Gradient%20Graphic%20T-shirt%20Front, https://placehold.co/800x800/ece9e4/111111.png?text=Gradient%20Graphic%20T-shirt%20Back, https://placehold.co/800x800/ece9e4/111111.png?text=Gradient%20Graphic%20T-shirt%20Detail",,1,Color,"White, Pink, Blue",1,1,White,Size,"Small, Medium, Large",1,1,Large,"Dress Style",Casual,1,1,Casual,3.5,61
simple,demo-002-polo-with-tipping-details,"Polo with Tipping Details",1,0,visible,"Polo with Tipping Details for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Polo with Tipping Details for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,21,0,0,1,,180,"Shop > Men > T-shirts, Casual","graphic, cotton, summer, casual, men",https://placehold.co/800x800/edf1ef/111111.png?text=Polo%20with%20Tipping%20Details,,2,Color,"Burgundy, Navy",1,1,Burgundy,Size,"Medium, Large, X-Large",1,1,Large,"Dress Style",Casual,1,1,Casual,4.5,79
simple,demo-003-black-striped-t-shirt,"Black Striped T-shirt",1,0,visible,"Black Striped T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Black Striped T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,22,0,0,1,120,150,"Shop > Men > T-shirts, Casual","graphic, cotton, summer, casual, men",https://placehold.co/800x800/f1ecec/111111.png?text=Black%20Striped%20T-shirt,,3,Color,"Black, White",1,1,Black,Size,"Small, Medium, Large",1,1,Large,"Dress Style",Casual,1,1,Casual,5,88
simple,demo-004-skinny-fit-jeans,"Skinny Fit Jeans",1,0,visible,"Skinny Fit Jeans for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Skinny Fit Jeans for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,23,0,0,1,240,260,"Shop > Men > Jeans, Casual","denim, everyday, streetwear, casual, men","https://placehold.co/800x800/eceff3/111111.png?text=Skinny%20Fit%20Jeans%20Front, https://placehold.co/800x800/eceff3/111111.png?text=Skinny%20Fit%20Jeans%20Back, https://placehold.co/800x800/eceff3/111111.png?text=Skinny%20Fit%20Jeans%20Detail",,4,Color,"Blue, Navy",1,1,Blue,Size,"Small, Medium, Large",1,1,Large,"Dress Style",Casual,1,1,Casual,3.5,64
simple,demo-005-checkered-shirt,"Checkered Shirt",1,0,visible,"Checkered Shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Checkered Shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,24,0,0,1,,180,"Shop > Unisex > Shirts, Casual","button-down, smart-casual, layering, casual, unisex",https://placehold.co/800x800/f2f0ef/111111.png?text=Checkered%20Shirt,,5,Color,"Red, Navy",1,1,Red,Size,"Medium, Large",1,1,Large,"Dress Style",Casual,1,1,Casual,4.5,82
simple,demo-006-sleeve-striped-t-shirt,"Sleeve Striped T-shirt",1,1,visible,"Sleeve Striped T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Sleeve Striped T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,25,0,0,1,130,160,"Shop > Men > T-shirts, Casual","graphic, cotton, summer, casual, men",https://placehold.co/800x800/ece9e4/111111.png?text=Sleeve%20Striped%20T-shirt,,6,Color,"Orange, Black",1,1,Orange,Size,"Small, Medium, Large",1,1,Large,"Dress Style",Casual,1,1,Casual,4.5,83
simple,demo-007-vertical-striped-shirt,"Vertical Striped Shirt",1,0,visible,"Vertical Striped Shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Vertical Striped Shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,26,0,0,1,212,232,"Shop > Men > Shirts, Casual","button-down, smart-casual, layering, casual, men","https://placehold.co/800x800/edf1ef/111111.png?text=Vertical%20Striped%20Shirt%20Front, https://placehold.co/800x800/edf1ef/111111.png?text=Vertical%20Striped%20Shirt%20Back, https://placehold.co/800x800/edf1ef/111111.png?text=Vertical%20Striped%20Shirt%20Detail",,7,Color,"Green, White",1,1,Green,Size,"Medium, Large, X-Large",1,1,Large,"Dress Style",Casual,1,1,Casual,5,92
simple,demo-008-courage-graphic-t-shirt,"Courage Graphic T-shirt",1,0,visible,"Courage Graphic T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Courage Graphic T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,27,0,0,1,,145,"Shop > Men > T-shirts, Casual","graphic, cotton, summer, casual, men",https://placehold.co/800x800/f1ecec/111111.png?text=Courage%20Graphic%20T-shirt,,8,Color,"Orange, Blue",1,1,Orange,Size,"Small, Medium, Large",1,1,Large,"Dress Style",Casual,1,1,Casual,4,76
simple,demo-009-loose-fit-bermuda-shorts,"Loose Fit Bermuda Shorts",1,0,visible,"Loose Fit Bermuda Shorts for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Loose Fit Bermuda Shorts for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,28,0,0,1,,80,"Shop > Unisex > Shorts, Casual","summer, travel, relaxed, casual, unisex",https://placehold.co/800x800/eceff3/111111.png?text=Loose%20Fit%20Bermuda%20Shorts,,9,Color,Blue,1,1,Blue,Size,"Small, Medium, Large",1,1,Large,"Dress Style",Casual,1,1,Casual,3,60
variable,demo-010-one-life-graphic-t-shirt,"One Life Graphic T-shirt",1,0,visible,"One Life Graphic T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","One Life Graphic T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,29,0,0,1,260,300,"Shop > Men > T-shirts, Casual","graphic, cotton, summer, casual, men","https://placehold.co/800x800/f2f0ef/111111.png?text=One%20Life%20Graphic%20T-shirt%20Front, https://placehold.co/800x800/f2f0ef/111111.png?text=One%20Life%20Graphic%20T-shirt%20Back, https://placehold.co/800x800/f2f0ef/111111.png?text=One%20Life%20Graphic%20T-shirt%20Detail, https://placehold.co/800x800/f2f0ef/111111.png?text=One%20Life%20Graphic%20T-shirt%20Model",,10,Color,"Olive, Green, Navy",1,1,Olive,Size,"Small, Medium, Large, X-Large",1,1,Large,"Dress Style",Casual,1,1,Casual,4.5,87
variation,demo-010-one-life-graphic-t-shirt-var-olive-small,"One Life Graphic T-shirt - Olive / Small",1,0,hidden,,,taxable,1,4,0,0,1,260,300,,"casual, men",,demo-010-one-life-graphic-t-shirt,0,Color,Olive,0,1,Olive,Size,Small,0,1,Small,"Dress Style",Casual,0,1,Casual,4.5,77
variation,demo-010-one-life-graphic-t-shirt-var-olive-medium,"One Life Graphic T-shirt - Olive / Medium",1,0,hidden,,,taxable,1,5,0,0,1,260,300,,"casual, men",,demo-010-one-life-graphic-t-shirt,1,Color,Olive,0,1,Olive,Size,Medium,0,1,Medium,"Dress Style",Casual,0,1,Casual,4.5,78
variation,demo-010-one-life-graphic-t-shirt-var-green-small,"One Life Graphic T-shirt - Green / Small",1,0,hidden,,,taxable,1,5,0,0,1,260,300,,"casual, men",,demo-010-one-life-graphic-t-shirt,1,Color,Green,0,1,Green,Size,Small,0,1,Small,"Dress Style",Casual,0,1,Casual,4.5,78
variation,demo-010-one-life-graphic-t-shirt-var-green-medium,"One Life Graphic T-shirt - Green / Medium",1,0,hidden,,,taxable,1,6,0,0,1,260,300,,"casual, men",,demo-010-one-life-graphic-t-shirt,2,Color,Green,0,1,Green,Size,Medium,0,1,Medium,"Dress Style",Casual,0,1,Casual,4.5,79
variable,demo-011-essential-crew-t-shirt,"Essential Crew T-shirt",1,1,visible,"Essential Crew T-shirt for gym outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Essential Crew T-shirt for gym outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,16,0,0,1,,198,"Shop > Unisex > T-shirts, Gym","graphic, cotton, summer, gym, unisex",https://placehold.co/800x800/ece9e4/111111.png?text=Essential%20Crew%20T-shirt,,11,Color,"Purple, Grey, Olive",1,1,Purple,Size,"Medium, Large, X-Large, XX-Large",1,1,Large,"Dress Style",Gym,1,1,Gym,3.5,71
variation,demo-011-essential-crew-t-shirt-var-purple-medium,"Essential Crew T-shirt - Purple / Medium",1,0,hidden,,,taxable,1,16,0,0,1,,198,,"gym, unisex",,demo-011-essential-crew-t-shirt,0,Color,Purple,0,1,Purple,Size,Medium,0,1,Medium,"Dress Style",Gym,0,1,Gym,3.5,60
variation,demo-011-essential-crew-t-shirt-var-purple-large,"Essential Crew T-shirt - Purple / Large",1,0,hidden,,,taxable,1,15,0,0,1,,198,,"gym, unisex",,demo-011-essential-crew-t-shirt,1,Color,Purple,0,1,Purple,Size,Large,0,1,Large,"Dress Style",Gym,0,1,Gym,3.5,61
variation,demo-011-essential-crew-t-shirt-var-grey-medium,"Essential Crew T-shirt - Grey / Medium",1,0,hidden,,,taxable,1,15,0,0,1,,198,,"gym, unisex",,demo-011-essential-crew-t-shirt,1,Color,Grey,0,1,Grey,Size,Medium,0,1,Medium,"Dress Style",Gym,0,1,Gym,3.5,61
variation,demo-011-essential-crew-t-shirt-var-grey-large,"Essential Crew T-shirt - Grey / Large",1,0,hidden,,,taxable,1,14,0,0,1,,198,,"gym, unisex",,demo-011-essential-crew-t-shirt,2,Color,Grey,0,1,Grey,Size,Large,0,1,Large,"Dress Style",Gym,0,1,Gym,3.5,62
simple,demo-012-vintage-wash-t-shirt,"Vintage Wash T-shirt",1,0,visible,"Vintage Wash T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Vintage Wash T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,23,0,0,1,189,211,"Shop > Men > T-shirts, Casual","graphic, cotton, summer, casual, men","https://placehold.co/800x800/edf1ef/111111.png?text=Vintage%20Wash%20T-shirt%20Front, https://placehold.co/800x800/edf1ef/111111.png?text=Vintage%20Wash%20T-shirt%20Back, https://placehold.co/800x800/edf1ef/111111.png?text=Vintage%20Wash%20T-shirt%20Detail",,12,Color,"Pink, Navy, Red",1,1,Pink,Size,"XX-Small, X-Small, Small, Medium",1,1,XX-Small,"Dress Style",Casual,1,1,Casual,4,80
simple,demo-013-minimal-logo-t-shirt,"Minimal Logo T-shirt",1,0,visible,"Minimal Logo T-shirt for formal outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Minimal Logo T-shirt for formal outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,0,0,0,0,1,,224,"Shop > Women > T-shirts, Formal","graphic, cotton, summer, formal, women",https://placehold.co/800x800/f1ecec/111111.png?text=Minimal%20Logo%20T-shirt,,13,Color,"Black, Blue, Burgundy",1,1,Black,Size,"X-Small, Small, Medium, Large",1,1,Large,"Dress Style",Formal,1,1,Formal,4.5,90
simple,demo-014-oversized-cotton-t-shirt,"Oversized Cotton T-shirt",1,0,visible,"Oversized Cotton T-shirt for party outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Oversized Cotton T-shirt for party outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,37,0,0,1,,237,"Shop > Unisex > T-shirts, Party","graphic, cotton, summer, party, unisex",https://placehold.co/800x800/eceff3/111111.png?text=Oversized%20Cotton%20T-shirt,,14,Color,"White, Green, Orange",1,1,White,Size,"Small, Medium, Large, X-Large",1,1,Large,"Dress Style",Party,1,1,Party,5,99
simple,demo-015-ribbed-neck-t-shirt,"Ribbed Neck T-shirt",1,0,visible,"Ribbed Neck T-shirt for gym outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Ribbed Neck T-shirt for gym outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,44,0,0,1,,250,"Shop > Men > T-shirts, Gym","graphic, cotton, summer, gym, men",https://placehold.co/800x800/f2f0ef/111111.png?text=Ribbed%20Neck%20T-shirt,,15,Color,"Grey, Olive, Yellow",1,1,Grey,Size,"Medium, Large, X-Large, XX-Large",1,1,Large,"Dress Style",Gym,1,1,Gym,3,66
simple,demo-016-sunset-graphic-t-shirt,"Sunset Graphic T-shirt",1,0,visible,"Sunset Graphic T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Sunset Graphic T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,51,0,0,1,237,263,"Shop > Women > T-shirts, Casual","graphic, cotton, summer, casual, women",https://placehold.co/800x800/ece9e4/111111.png?text=Sunset%20Graphic%20T-shirt,,16,Color,"Navy, Red, Purple",1,1,Navy,Size,"XX-Small, X-Small, Small, Medium",1,1,XX-Small,"Dress Style",Casual,1,1,Casual,3.5,76
simple,demo-017-heavyweight-boxy-t-shirt,"Heavyweight Boxy T-shirt",1,0,visible,"Heavyweight Boxy T-shirt for formal outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Heavyweight Boxy T-shirt for formal outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,58,0,0,1,,276,"Shop > Unisex > T-shirts, Formal","graphic, cotton, summer, formal, unisex",https://placehold.co/800x800/edf1ef/111111.png?text=Heavyweight%20Boxy%20T-shirt,,17,Color,"Blue, Burgundy, Pink",1,1,Blue,Size,"X-Small, Small, Medium, Large",1,1,Large,"Dress Style",Formal,1,1,Formal,4,85
simple,demo-018-longline-t-shirt,"Longline T-shirt",1,0,visible,"Longline T-shirt for party outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Longline T-shirt for party outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,65,0,0,1,,289,"Shop > Men > T-shirts, Party","graphic, cotton, summer, party, men","https://placehold.co/800x800/f1ecec/111111.png?text=Longline%20T-shirt%20Front, https://placehold.co/800x800/f1ecec/111111.png?text=Longline%20T-shirt%20Back, https://placehold.co/800x800/f1ecec/111111.png?text=Longline%20T-shirt%20Detail",,18,Color,"Green, Orange, Black",1,1,Green,Size,"Small, Medium, Large, X-Large",1,1,Large,"Dress Style",Party,1,1,Party,4.5,95
simple,demo-019-pocket-detail-t-shirt,"Pocket Detail T-shirt",1,0,visible,"Pocket Detail T-shirt for gym outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Pocket Detail T-shirt for gym outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,8,0,0,1,,56,"Shop > Women > T-shirts, Gym","graphic, cotton, summer, gym, women",https://placehold.co/800x800/eceff3/111111.png?text=Pocket%20Detail%20T-shirt,,19,Color,"Olive, Yellow, White",1,1,Olive,Size,"Medium, Large, X-Large, XX-Large",1,1,Large,"Dress Style",Gym,1,1,Gym,5,104
simple,demo-020-relaxed-fit-t-shirt,"Relaxed Fit T-shirt",1,0,visible,"Relaxed Fit T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Relaxed Fit T-shirt for casual outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,15,0,0,1,39,69,"Shop > Unisex > T-shirts, Casual","graphic, cotton, summer, casual, unisex","https://placehold.co/800x800/f2f0ef/111111.png?text=Relaxed%20Fit%20T-shirt%20Front, https://placehold.co/800x800/f2f0ef/111111.png?text=Relaxed%20Fit%20T-shirt%20Back, https://placehold.co/800x800/f2f0ef/111111.png?text=Relaxed%20Fit%20T-shirt%20Detail, https://placehold.co/800x800/f2f0ef/111111.png?text=Relaxed%20Fit%20T-shirt%20Model",,20,Color,"Red, Purple, Grey",1,1,Red,Size,"XX-Small, X-Small, Small, Medium",1,1,XX-Small,"Dress Style",Casual,1,1,Casual,3,71
simple,demo-021-contrast-collar-t-shirt,"Contrast Collar T-shirt",1,0,visible,"Contrast Collar T-shirt for formal outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing.","Contrast Collar T-shirt for formal outfits. Demo product with realistic pricing, attributes, stock state, categories, tags, and placeholder imagery for WooCommerce catalog testing. Use this item to verify product cards, filters, sale badges, stock states, and product detail layouts.",taxable,1,22,0,0,1,,82,"Shop > Men > T-shirts, Formal","graphic, cotton, summer, formal, men",https://placehold.co/800x800/ece9e4/111111.png?text=Contrast%20Collar%20T-shirt,,21,Color,"Burgundy, Pink, Navy",1,1,Burgundy,Size,"X-Small, Small, Medium, Large",1,1,Large,"Dress Style",Formal,1,1,Formal,3.5,81
